Larvae Number,type,Total cells,Viable cells,Viability (%),Total cells/mL,Average diameter (micron),Average circularity
466,whole,754,637,84.48275862,6600000,10.72,0.87
467,whole,900,759,84.33333333,7880000,10.27,0.87
468,whole,1030,876,85.04854369,9020000,10.27,0.87
469,whole,816,690,84.55882353,7140000,10.2,0.88
470,whole,526,463,88.02281369,4600000,10.26,0.88
480,plasma,20,0,0,180000,7.93,0.82
481,plasma,67,0,0,590000,9.65,0.76
482,plasma,16,0,0,140000,9.84,0.78
483,plasma,70,0,0,610000,9.9,0.7
484,plasma,49,2,4.1,430000,8.86,0.78
