Age (days),Animal Mass (g),Hemolymph Mass (g),Volume (mL),Density (g/mL)
17,1.3362,0.1341,0.13,1.03
17,1.05,0.0845,0.08,1.06
17,1.1979,0.0812,0.085,0.96
18,1.1241,0.1095,0.11,1.00
18,1.1025,0.0615,0.06,1.03
18,1.1954,0.0793,0.075,1.06
19,1.2534,0.0539,0.05,1.08
19,1.3099,0.0828,0.08,1.04
20,1.1808,0.1061,0.1,1.06
20,1.5099,0.1188,0.115,1.03
19,1.3662,0.0695,0.07,0.99
20,0.9593,0.0692,0.07,0.99
20,2.3601,0.0851,0.085,1.00
20,4.7673,0.1337,0.13,1.03
21,2.5165,0.1641,0.16,1.03
21,1.9415,0.1098,0.105,1.05
21,1.0917,0.0882,0.09,0.98
21,1.5352,0.1266,0.12,1.06
21,4.3123,0.1207,0.12,1.01
22,2.8543,0.152,0.15,1.01
22,1.5694,0.118,0.12,0.98
22,3.649,0.1068,0.11,0.97
22,3.84,0.1396,0.135,1.03
22,3.3943,0.259,0.25,1.04
18,1.0456,0.0456,0.05,0.91
18,1.3603,0.1241,0.12,1.03
18,1.363,0.093,0.095,0.98
18,1.1147,0.1461,0.145,1.01
21,1.5401,0.1238,0.12,1.03
21,2.0572,0.2,0.19,1.05
21,1.5085,0.2115,0.21,1.01
21,1.1856,0.1515,0.15,1.01
21,1.0607,0.1222,0.12,1.02
18,0.8371,0.0563,0.06,0.94
18,1.0673,0.0903,0.09,1.00
18,1.0488,0.1044,0.105,0.99
18,1.1868,0.1481,0.15,0.99
18,1.2353,0.2171,0.21,1.03
23,2.9947,0.1908,0.185,1.03
23,3.3531,0.2128,0.205,1.04
23,5.3298,0.2575,0.25,1.03
23,2.9743,0.172,0.18,0.96
23,3.8413,0.2245,0.22,1.02
27,8.0381,0.1375,0.13,1.06
27,6.9483,0.1748,0.17,1.03
27,7.8661,0.1739,0.17,1.02
27,5.4833,0.2122,0.205,1.04
27,8.2536,0.2117,0.205,1.03
26,7.1109,0.2321,0.23,1.01
26,6.9819,0.2301,0.22,1.05
26,3.4729,0.1432,0.15,0.95
26,6.6992,0.2022,0.195,1.04
26,1.4677,0.1058,0.11,0.96
25,3.9753,0.1928,0.19,1.01
25,5.1711,0.1937,0.19,1.02
25,6.6906,0.2232,0.22,1.01
25,6.1682,0.1278,0.125,1.02
25,4.8567,0.2273,0.225,1.01
24,5.8556,0.2906,0.285,1.02
24,5.4955,0.2532,0.24,1.06
24,6.6537,0.2166,0.21,1.03
24,4.1286,0.28,0.275,1.02
24,4.8209,0.2533,0.25,1.01
29,9.3108,0.2746,0.26,1.06
29,6.6469,0.0559,0.055,1.02
29,6.4466,0.1077,0.11,0.98
30,9.4596,0.2917,0.28,1.04
30,7.8155,0.0824,0.08,1.03
30,6.603,0.2731,0.27,1.01
28,8.2477,0.2019,0.2,1.01
28,6.9838,0.2652,0.25,1.06
28,6.0109,0.2266,0.21,1.08
29,6.6025,0.1965,0.19,1.03
29,5.2535,0.2184,0.21,1.04
29,4.8515,0.1294,0.13,1.00
28,8.0943,0.2066,0.21,0.98
28,7.9268,0.1059,0.1,1.06
28,7.452,0.209,0.21,1.00
30,6.3311,0.1481,0.145,1.02
30,5.8181,0.1491,0.145,1.03
30,7.0989,0.1598,0.15,1.07
31,7.8112,0.27,0.26,1.04
31,5.4617,0.2203,0.21,1.05
31,6.818,0.0834,0.085,0.98
31,5.8374,0.2901,0.28,1.04
31,5.1221,0.301,0.29,1.04
32,2.1036,0.1933,0.19,1.02
32,4.1353,0.1945,0.19,1.02
32,4.1314,0.2058,0.21,0.98
32,4.3229,0.0735,0.075,0.98
32,3.1525,0.0989,0.1,0.99
37,4.8897,0.1485,0.145,1.02
36,6.3394,0.1068,0.1,1.07
35,6.4553,0.3022,0.29,1.04
35,5.0965,0.0728,0.07,1.04
34,3.7091,0.1532,0.15,1.02
33,5.7166,0.2091,0.2,1.05
33,4.4492,0.1723,0.16,1.08
33,5.4972,0.2204,0.21,1.05
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
