 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:01 
 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:00 
 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:01 
?RPM=60  M=LV    S=40 %=-0.2  mPas=----  N/M2=----  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=27.1  mPas=1.38  N/M2=0.62  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=92.2  mPas=4.71  N/M2=2.12  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=96.8  mPas=4.94  N/M2=2.23  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=46.3  mPas=2.37  N/M2=1.06  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=58.7  mPas=3.00  N/M2=1.35  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=87.5  mPas=4.47  N/M2=2.01  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=91.1  mPas=4.65  N/M2=2.09  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=71.1  mPas=3.63  N/M2=1.63  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=54.3  mPas=2.77  N/M2=1.25  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=58.4  mPas=2.98  N/M2=1.34  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=76.7  mPas=3.92  N/M2=1.76  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=93.7  mPas=4.79  N/M2=2.15  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=96.3  mPas=4.92  N/M2=2.21  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=88.2  mPas=4.51  N/M2=2.03  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=80.6  mPas=4.12  N/M2=1.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=79.8  mPas=4.08  N/M2=1.83  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=84.0  mPas=4.29  N/M2=1.93  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=87.6  mPas=4.47  N/M2=2.01  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=87.2  mPas=4.45  N/M2=2.00  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=83.4  mPas=4.26  N/M2=1.92  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=78.9  mPas=4.03  N/M2=1.81  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=75.7  mPas=3.87  N/M2=1.74  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=74.4  mPas=3.80  N/M2=1.71  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=73.6  mPas=3.76  N/M2=1.69  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=72.3  mPas=3.69  N/M2=1.66  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=70.4  mPas=3.60  N/M2=1.62  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=68.2  mPas=3.48  N/M2=1.57  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=65.8  mPas=3.36  N/M2=1.51  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=63.7  mPas=3.25  N/M2=1.46  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=61.9  mPas=3.16  N/M2=1.42  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=60.6  mPas=3.10  N/M2=1.39  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=59.7  mPas=3.05  N/M2=1.37  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=58.5  mPas=2.99  N/M2=1.34  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=57.0  mPas=2.91  N/M2=1.31  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=55.7  mPas=2.85  N/M2=1.28  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=54.8  mPas=2.80  N/M2=1.26  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=54.0  mPas=2.76  N/M2=1.24  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=53.1  mPas=2.71  N/M2=1.22  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=51.9  mPas=2.65  N/M2=1.19  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=50.9  mPas=2.60  N/M2=1.17  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=50.4  mPas=2.57  N/M2=1.16  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=49.9  mPas=2.55  N/M2=1.15  1/SEC=450   T=----C  Z00:00 
